"SubscriptionName","VMName","ResourceGroup","WorkspaceId","WorkspaceName","WorkspaceResourceGroup","workspaceResourceId"
"Microsoft Dynamics 365 FO","builda6343b92-1","ONEFAMILY-BUI1-81","adb96903-1d87-4cef-9d3e-afadcb0dad97","ITC-PROD-LAW","itc-prod-rg","/subscriptions/8adf6854-f88a-4543-bc1d-c39b35d0acac/resourcegroups/itc-prod-rg/providers/microsoft.operationalinsights/workspaces/itc-prod-law"
"Microsoft Dynamics 365 FO","of-dev03-1","ONEFAMILY-DEV03","adb96903-1d87-4cef-9d3e-afadcb0dad97","ITC-PROD-LAW","itc-prod-rg","/subscriptions/8adf6854-f88a-4543-bc1d-c39b35d0acac/resourcegroups/itc-prod-rg/providers/microsoft.operationalinsights/workspaces/itc-prod-law"
"Visual Studio Professional","WebDevops","MYCODETEST","Not Found","","",""
"Visual Studio Professional","Wintest","MYCODETEST","Not Found","","",""
"LTM-HUBSUB","ACE-NESSUS-01","INFRA-UKS-HUBRG","8967fe61-a704-4869-86ee-42bb6f14cc19","Doesn't exist","",""
"LTM-HUBSUB","VM-JUMP-01","INFRA-UKS-HUBRG","8967fe61-a704-4869-86ee-42bb6f14cc19","Doesn't exist","",""
"LTM-HUBSUB","VM-JUMP-02","INFRA-UKS-HUBRG","8967fe61-a704-4869-86ee-42bb6f14cc19","Doesn't exist","",""
"LTM-HUBSUB","VM-JUMP-STG","INFRA-UKS-HUBRG","adb96903-1d87-4cef-9d3e-afadcb0dad97","ITC-PROD-LAW","itc-prod-rg","/subscriptions/8adf6854-f88a-4543-bc1d-c39b35d0acac/resourcegroups/itc-prod-rg/providers/microsoft.operationalinsights/workspaces/itc-prod-law"
"LTM-HUBSUB","VM-JUMP-UAT","INFRA-UKS-HUBRG","adb96903-1d87-4cef-9d3e-afadcb0dad97","ITC-PROD-LAW","itc-prod-rg","/subscriptions/8adf6854-f88a-4543-bc1d-c39b35d0acac/resourcegroups/itc-prod-rg/providers/microsoft.operationalinsights/workspaces/itc-prod-law"
"LTM-HUBSUB","VM-FW-01","NETWORK-UKS-HUBRG","8967fe61-a704-4869-86ee-42bb6f14cc19","Doesn't exist","",""
"LTM-HUBSUB","VM-FW-02","NETWORK-UKS-HUBRG","8967fe61-a704-4869-86ee-42bb6f14cc19","Doesn't exist","",""
"LTM-PRODSUB","ACE-PR-EXP-01","INFRA-UKS-PRODRG","8967fe61-a704-4869-86ee-42bb6f14cc19","Doesn't exist","",""
"LTM-PRODSUB","ACE-PR-FP-01","INFRA-UKS-PRODRG","8967fe61-a704-4869-86ee-42bb6f14cc19","Doesn't exist","",""
"LTM-PRODSUB","ACE-PR-FP-02","INFRA-UKS-PRODRG","8967fe61-a704-4869-86ee-42bb6f14cc19","Doesn't exist","",""
"LTM-PRODSUB","ACE-PR-ORIG-02","INFRA-UKS-PRODRG","8967fe61-a704-4869-86ee-42bb6f14cc19","Doesn't exist","",""
"LTM-PRODSUB","ACE-PR-ORIG-02n","INFRA-UKS-PRODRG","8967fe61-a704-4869-86ee-42bb6f14cc19","Doesn't exist","",""
"LTM-PRODSUB","ACE-PR-RDS-01","INFRA-UKS-PRODRG","8967fe61-a704-4869-86ee-42bb6f14cc19","Doesn't exist","",""
"LTM-PRODSUB","ACE-PR-RDS-02","INFRA-UKS-PRODRG","8967fe61-a704-4869-86ee-42bb6f14cc19","Doesn't exist","",""
"LTM-PRODSUB","ACE-PR-SER-01","INFRA-UKS-PRODRG","8967fe61-a704-4869-86ee-42bb6f14cc19","Doesn't exist","",""
"LTM-PRODSUB","ACE-PR-SER-02","INFRA-UKS-PRODRG","8967fe61-a704-4869-86ee-42bb6f14cc19","Doesn't exist","",""
"LTM-PRODSUB","ACE-PR-SS-01","INFRA-UKS-PRODRG","8967fe61-a704-4869-86ee-42bb6f14cc19","Doesn't exist","",""
"LTM-PRODSUB","ACE-PR-WEB-01","INFRA-UKS-PRODRG","8967fe61-a704-4869-86ee-42bb6f14cc19","Doesn't exist","",""
"LTM-PRODSUB","ACE-PR-WEB-02","INFRA-UKS-PRODRG","8967fe61-a704-4869-86ee-42bb6f14cc19","Doesn't exist","",""
"LTM-PRODSUB","VM-PRODADDS-01","INFRA-UKS-PRODRG","8967fe61-a704-4869-86ee-42bb6f14cc19","Doesn't exist","",""
"LTM-PRODSUB","VM-PRODADDS-02","INFRA-UKS-PRODRG","8967fe61-a704-4869-86ee-42bb6f14cc19","Doesn't exist","",""
"LTM-PRODSUB","VM-PRODSQL-01","INFRA-UKS-PRODRG","Not Found","","",""
"LTM-PRODSUB","VM-PRODSQL-02","INFRA-UKS-PRODRG","8967fe61-a704-4869-86ee-42bb6f14cc19","Doesn't exist","",""
"LTM-STAGINGSUB","ACE-STG-ORIG-01","INFRA-UKS-STAGINGRG","8024d12c-e8da-4e95-bab8-cfae94f405f4","LA-LTM-STG-UKS-EXP-01","infra-uks-stg-experian","/subscriptions/96d5fbcf-48cd-4d54-a592-1efbbd7adc27/resourcegroups/infra-uks-stg-experian/providers/microsoft.operationalinsights/workspaces/la-ltm-stg-uks-exp-01"
"LTM-STAGINGSUB","ACE-STG-RDS-01","INFRA-UKS-STAGINGRG","adb96903-1d87-4cef-9d3e-afadcb0dad97","ITC-PROD-LAW","itc-prod-rg","/subscriptions/8adf6854-f88a-4543-bc1d-c39b35d0acac/resourcegroups/itc-prod-rg/providers/microsoft.operationalinsights/workspaces/itc-prod-law"
"LTM-STAGINGSUB","ACE-STG-SER-01","INFRA-UKS-STAGINGRG","8024d12c-e8da-4e95-bab8-cfae94f405f4","LA-LTM-STG-UKS-EXP-01","infra-uks-stg-experian","/subscriptions/96d5fbcf-48cd-4d54-a592-1efbbd7adc27/resourcegroups/infra-uks-stg-experian/providers/microsoft.operationalinsights/workspaces/la-ltm-stg-uks-exp-01"
"LTM-STAGINGSUB","ACE-STG-SQL-01","INFRA-UKS-STAGINGRG","8024d12c-e8da-4e95-bab8-cfae94f405f4","LA-LTM-STG-UKS-EXP-01","infra-uks-stg-experian","/subscriptions/96d5fbcf-48cd-4d54-a592-1efbbd7adc27/resourcegroups/infra-uks-stg-experian/providers/microsoft.operationalinsights/workspaces/la-ltm-stg-uks-exp-01"
"LTM-STAGINGSUB","ACE-STG-WEB-01","INFRA-UKS-STAGINGRG","8024d12c-e8da-4e95-bab8-cfae94f405f4","LA-LTM-STG-UKS-EXP-01","infra-uks-stg-experian","/subscriptions/96d5fbcf-48cd-4d54-a592-1efbbd7adc27/resourcegroups/infra-uks-stg-experian/providers/microsoft.operationalinsights/workspaces/la-ltm-stg-uks-exp-01"
